GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SpringBoot1,edu.icesi.fitness.controller,AdminController,543,0,42,0,94,0,61,0,40,0
SpringBoot1,edu.icesi.fitness.controller,AdminController.RolePermissionsDto,3,0,0,0,1,0,1,0,1,0
SpringBoot1,edu.icesi.fitness.controller,AdminController.EventUpsertDto,3,0,0,0,1,0,1,0,1,0
SpringBoot1,edu.icesi.fitness.controller,AdminController.RoleCreateDto,3,0,0,0,1,0,1,0,1,0
SpringBoot1,edu.icesi.fitness.controller,AdminController.UpdateUserDto,3,0,0,0,1,0,1,0,1,0
SpringBoot1,edu.icesi.fitness.controller,AdminController.CreateUserDto,3,0,0,0,1,0,1,0,1,0
SpringBoot1,edu.icesi.fitness.controller,AdminController.ExerciseUpsertDto,3,0,0,0,1,0,1,0,1,0
SpringBoot1,edu.icesi.fitness.service,UserService,113,345,25,31,13,73,30,17,5,14
SpringBoot1,edu.icesi.fitness.service,RoleService,69,294,14,24,13,63,19,17,5,12
SpringBoot1,edu.icesi.fitness.service,PermissionService,5,73,2,2,1,16,2,8,0,8
SpringBoot1,edu.icesi.fitness.model,Progress,38,0,0,0,8,0,11,0,11,0
SpringBoot1,edu.icesi.fitness.model,Permission,7,10,0,0,3,5,2,3,2,3
SpringBoot1,edu.icesi.fitness.model,Trainer,31,0,0,0,5,0,9,0,9,0
SpringBoot1,edu.icesi.fitness.model,Notification,36,0,0,0,8,0,9,0,9,0
SpringBoot1,edu.icesi.fitness.model,Routine,64,0,0,0,16,0,12,0,12,0
SpringBoot1,edu.icesi.fitness.model,User,58,55,0,0,15,16,16,10,16,10
SpringBoot1,edu.icesi.fitness.model,Event,39,0,0,0,9,0,10,0,10,0
SpringBoot1,edu.icesi.fitness.model,Exercise,64,0,0,0,12,0,17,0,17,0
SpringBoot1,edu.icesi.fitness.model,Role,28,27,0,0,9,10,6,5,6,5
SpringBoot1,edu.icesi.fitness,ServletInitializer,12,0,0,0,2,0,2,0,2,0
SpringBoot1,edu.icesi.fitness,FitnessApplication,8,0,0,0,3,0,2,0,2,0
